struct Keyword TStruct 2 "" 2
x Identifier TIdentifier 2 "" 2
{ Operator TOpenCurlyBrace 2 "" 2
int Keyword TInt 3 "" 3
f Identifier TIdentifier 3 "" 3
; Operator TSemicolon 3 "" 3
} Operator TCloseCurlyBrace 4 "" 4
; Operator TSemicolon 4 "" 4
int Keyword TInt 7 "" 7
main Identifier TIdentifier 7 "" 7
( Operator TOpenBracket 7 "" 7
) Operator TCloseBracket 7 "" 7
{ Operator TOpenCurlyBrace 8 "" 8
int Keyword TInt 10 "" 10
x Identifier TIdentifier 10 "" 10
= Operator TAssign 10 "" 10
5 Invalid TInvalid 10 "" 10
, Operator TComma 10 "" 10
y Identifier TIdentifier 10 "" 10
= Operator TAssign 10 "" 10
8 Invalid TInvalid 10 "" 10
; Operator TSemicolon 10 "" 10
x Identifier TIdentifier 12 "" 12
= Operator TAssign 12 "" 12
x Identifier TIdentifier 12 "" 12
< Operator TGreater 12 "" 12
y Identifier TIdentifier 12 "" 12
; Operator TSemicolon 12 "" 12
x Identifier TIdentifier 13 "" 13
= Operator TAssign 13 "" 13
x Identifier TIdentifier 13 "" 13
== Operator TEquals 13 "" 13
y Identifier TIdentifier 13 "" 13
; Operator TSemicolon 13 "" 13
y Identifier TIdentifier 14 "" 14
= Operator TAssign 14 "" 14
y Identifier TIdentifier 14 "" 14
!= Operator TNotEqual 14 "" 14
x Identifier TIdentifier 14 "" 14
; Operator TSemicolon 14 "" 14
x Identifier TIdentifier 15 "" 15
= Operator TAssign 15 "" 15
x Identifier TIdentifier 15 "" 15
<= Operator TLessEqual 15 "" 15
10 Constant TDecInteger 15 "" 15
<= Operator TLessEqual 15 "" 15
12 Constant TDecInteger 15 "" 15
; Operator TSemicolon 15 "" 15
x Identifier TIdentifier 16 "" 16
= Operator TAssign 16 "" 16
x Identifier TIdentifier 16 "" 16
>= Operator TGreaterEqual 16 "" 16
5 Invalid TInvalid 16 "" 16
> Operator TLess 16 "" 16
10 Constant TDecInteger 16 "" 16
; Operator TSemicolon 16 "" 16
} Operator TCloseCurlyBrace 18 "" 18
